Award_ID,Award_Name,Subfield,Title,Author_1,Author_1_Gender,Author_2,Author_2_Gender,Author_3,Author_3_Gender,Author_4,Author_4_Gender,Author_5,Author_5_Gender,Author_6,Author_6_Gender,Author_7,Author_7_Gender,Author_8,Author_8_Gender,Author_9,Author_9_Gender,Year_Won,Year_Published,Journal,DOI,Prize_Type,Prize_Rank,Author_Count,Primary_Method,Source_Award_Page,Notes,ASA
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Community Social Capital and Entrepreneurship,Seok-Won Kwon,male,Colleen Heflin,female,Martin Ruef,male,,,,,,,,,,,,,2014,2013,American Sociological Review,,Winner,Winner,3,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Anticipatory Sorting and Gender Segregation in Temporary Employment,Isabel Fernandez-Mateo,female,Zelia King,female,,,,,,,,,,,,,,,2013,2011,Management Science,,Winner,Winner,2,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Governing the Gap: Forging Safe Science through Relational Regulation,Ruthanne Huising,female,Susan Silbey,female,,,,,,,,,,,,,,,2012,2011,Regulation & Governance,,Winner,Winner,2,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Engendering Change: Organizational Dynamics and Workplace Gender Desegregation 1975-2005,Matt L. Huffman,male,Philip N. Cohen,male,Jessica Pearlman,female,,,,,,,,,,,,,2011,2010,Administrative Science Quarterly,,Winner,Winner,3,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Cracking the Glass Cages? Restructuring and Ascriptive Inequality at Work,Alexandra Kalev,female,,,,,,,,,,,,,,,,,2010,2009,American Journal of Sociology,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Social Times of Network Spaces: Network Sequences and Foreign Investment in Hungary,David Stark,male,Balazs Vedres,male,,,,,,,,,,,,,,,2009,2006,American Journal of Sociology,,Winner,Winner,2,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Collaboration and Creativity: The Small World Problem,Brian Uzzi,male,Jarrett Spiro,male,,,,,,,,,,,,,,,2008,2005,American Journal of Sociology,,Winner,Winner,2,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Social Networks The Tertius Iungens Orientation and Involvement In Innovation,David Obstfeld,male,,,,,,,,,,,,,,,,,2007,2005,Administrative Science Quarterly,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Embeddedness and Price Formation in the Large Law Firm Market,Brian Uzzi,male,Ryon Lancaster,male,,,,,,,,,,,,,,,2006,2004,American Sociological Review,,Winner,Winner,2,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
oow_scott,W. Richard Scott Article Award,Organizations/Occupations/Work,Why do Some Occupations Pay More than Others? Social Closure and Earnings Inequality in the United States,Kim A. Weeden,female,,,,,,,,,,,,,,,,,2004,2002,American Journal of Sociology,,Winner,Winner,1,,https://www.asanet.org/communities-and-sections/sections/current-sections/organizations-occupations-and-work-award-recipient-history/,,1
